time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	-6.97983	10.9064	5.2	-7.84874e-015	0	lidar	5.08888e-322	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.862916	0.534212	4.89281	0.554329	0	radar	1.57557e-317	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	0.862916	0.534212	4.89281	0.554329	0	lidar	5.08888e-322	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.23353	0.609452	5.44679	0.160425	-0.0116104	radar	0.79704	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.23353	0.609452	5.44679	0.160425	-0.0116104	lidar	5.08888e-322	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.70547	0.592802	5.73926	0.0531353	-0.0213076	radar	0.221136	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	1.70547	0.592802	5.73926	0.0531353	-0.0213076	lidar	5.08888e-322	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.1884	0.6097	5.50157	0.0499474	-0.0514708	radar	0.51938	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.1884	0.6097	5.50157	0.0499474	-0.0514708	lidar	5.08888e-322	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.72281	0.622404	5.47361	0.0357743	-0.0679895	radar	0.129901	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	2.72281	0.622404	5.47361	0.0357743	-0.0679895	lidar	5.08888e-322	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.27613	0.569135	5.47346	-0.0155552	-0.122668	radar	0.325415	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.27613	0.569135	5.47346	-0.0155552	-0.122668	lidar	5.08888e-322	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.84395	0.587166	5.528	-0.00902266	-0.0834329	radar	0.48264	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	3.84395	0.587166	5.528	-0.00902266	-0.0834329	lidar	5.08888e-322	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.37848	0.598082	5.49984	-0.0148582	-0.0938869	radar	0.298143	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.37848	0.598082	5.49984	-0.0148582	-0.0938869	lidar	5.08888e-322	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.89883	0.58317	5.43881	-0.0418311	-0.141135	radar	0.8566	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	4.89883	0.58317	5.43881	-0.0418311	-0.141135	lidar	5.08888e-322	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.40616	0.599282	5.45199	-0.0251348	-0.0918922	radar	0.285627	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.40616	0.599282	5.45199	-0.0251348	-0.0918922	lidar	5.08888e-322	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	5.8997	0.50158	5.40342	-0.0803659	-0.158535	radar	0.360114	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	5.8997	0.50158	5.40342	-0.0803659	-0.158535	lidar	5.08888e-322	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.41355	0.537154	5.38158	-0.0650803	-0.127585	radar	0.285174	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.41355	0.537154	5.38158	-0.0650803	-0.127585	lidar	5.08888e-322	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	6.9219	0.486167	5.32887	-0.0962411	-0.157567	radar	1.10307	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	6.9219	0.486167	5.32887	-0.0962411	-0.157567	lidar	5.08888e-322	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.50199	0.573413	5.40089	-0.0435885	-0.0793801	radar	1.5647	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.50199	0.573413	5.40089	-0.0435885	-0.0793801	lidar	5.08888e-322	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.0182	0.614108	5.34532	-0.0321529	-0.0651071	radar	1.08792	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.0182	0.614108	5.34532	-0.0321529	-0.0651071	lidar	5.08888e-322	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.5424	0.803771	5.382	0.0397603	0.00698216	radar	0.698581	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.5424	0.803771	5.382	0.0397603	0.00698216	lidar	5.08888e-322	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.12517	0.93111	5.41944	0.0764598	0.0369343	radar	1.98099	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.12517	0.93111	5.41944	0.0764598	0.0369343	lidar	5.08888e-322	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.67929	1.10859	5.44113	0.12304	0.070273	radar	0.75435	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.67929	1.10859	5.44113	0.12304	0.070273	lidar	5.08888e-322	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.1844	1.38551	5.37145	0.198696	0.123955	radar	1.17096	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.1844	1.38551	5.37145	0.198696	0.123955	lidar	5.08888e-322	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6485	1.70364	5.27157	0.28446	0.182305	radar	1.34048	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.6485	1.70364	5.27157	0.28446	0.182305	lidar	5.08888e-322	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.1673	1.78109	5.29031	0.281628	0.167009	radar	0.219271	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.1673	1.78109	5.29031	0.281628	0.167009	lidar	5.08888e-322	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6184	1.91325	5.23435	0.302853	0.173806	radar	0.433803	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.6184	1.91325	5.23435	0.302853	0.173806	lidar	5.08888e-322	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1181	2.0352	5.26381	0.307457	0.163716	radar	0.110414	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.1181	2.0352	5.26381	0.307457	0.163716	lidar	5.08888e-322	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.6187	2.08385	5.28122	0.294963	0.145096	radar	0.227154	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.6187	2.08385	5.28122	0.294963	0.145096	lidar	5.08888e-322	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.1363	2.25291	5.33653	0.306971	0.140762	radar	0.347669	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.1363	2.25291	5.33653	0.306971	0.140762	lidar	5.08888e-322	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4747	2.65004	5.20744	0.389982	0.186476	radar	3.05123	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.4747	2.65004	5.20744	0.389982	0.186476	lidar	5.08888e-322	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9079	2.87511	5.17146	0.420669	0.196174	radar	0.187309	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	13.9079	2.87511	5.17146	0.420669	0.196174	lidar	5.08888e-322	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4107	2.99065	5.20868	0.412275	0.177112	radar	0.241364	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.4107	2.99065	5.20868	0.412275	0.177112	lidar	5.08888e-322	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
