time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	0	0	0	lidar	5.08888e-322	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.704532	0.574613	7.21007	-2.05309e-017	-1.83155e-018	radar	15.3411	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.10273	0.512635	7.53877	-0.288929	-0.0135163	lidar	0.916967	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.29831	0.433137	7.03227	-0.356294	-0.0360552	radar	1.07945	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.62235	0.553269	6.61526	-0.0841284	-0.00956575	lidar	1.06145	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.87773	0.546039	5.95404	-0.0727176	-0.0999679	radar	1.30134	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.1721	0.605811	5.88411	-0.0103471	-0.0433173	lidar	0.257247	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.41481	0.612872	5.61415	-0.00998313	-0.101711	radar	1.4758	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.67729	0.644258	5.56532	0.015554	-0.0402271	lidar	0.0913869	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.94143	0.647188	5.5101	0.00881547	-0.0678285	radar	0.108559	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.15284	0.651383	5.38737	0.0157431	-0.0389555	lidar	1.26008	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.41942	0.643874	5.38088	0.00117602	-0.0742206	radar	0.154235	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.75858	0.437118	5.55079	-0.195205	-0.522788	lidar	3.10308	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	4.03744	0.402358	5.57854	-0.194356	-0.452382	radar	0.386455	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.30437	0.483494	5.53513	-0.0997592	-0.206714	lidar	0.984549	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.56895	0.455566	5.50512	-0.113767	-0.218966	radar	0.2856	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.71285	0.70349	5.22085	0.0901007	0.180092	lidar	11.978	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.9636	0.728938	5.1876	0.0993214	0.179968	radar	0.580125	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.29528	0.689907	5.31493	0.0595854	0.097238	lidar	3.17637	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.55668	0.70448	5.31928	0.0636826	0.0963382	radar	0.443817	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.86884	0.710085	5.39398	0.0595707	0.082321	lidar	1.37445	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.11803	0.718673	5.34112	0.0577597	0.0725866	radar	1.03654	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.36876	0.846133	5.32192	0.132152	0.173934	lidar	1.02613	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.62287	0.882354	5.29455	0.141275	0.174565	radar	0.274976	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
1477010444200000	6.86611	0.8219	5.26021	0.0930091	0.0992034	lidar	1.36903	6.78214	0.714036	6.81808	0.817988	5.13452	0.52999
1477010444250000	7.11431	0.843541	5.21214	0.0961036	0.0963995	radar	1.20224	7.29121	0.630741	7.07469	0.845578	5.12685	0.573269
1477010444300000	7.31774	0.916279	5.13822	0.129012	0.131599	lidar	2.04765	7.13735	0.957217	7.3309	0.875373	5.11851	0.618123
1477010444350000	7.58937	0.950171	5.17933	0.13485	0.130648	radar	1.12949	8.08349	0.819605	7.58668	0.907449	5.10946	0.664531
1477010444400000	7.84312	0.868234	5.16008	0.0808203	0.0597762	lidar	1.83355	7.80533	0.719126	7.84199	0.941886	5.09966	0.712469
1477010444450000	8.09519	0.888135	5.13416	0.0830896	0.0586696	radar	0.806733	8.40453	0.884557	8.0968	0.978759	5.08907	0.761915
1477010444500000	8.32959	0.88245	5.10095	0.0735016	0.0447467	lidar	0.501537	8.24796	0.840322	8.35106	1.01814	5.07766	0.812843
1477010444550000	8.59412	0.906186	5.14014	0.0779042	0.0474238	radar	0.866527	8.45858	1.41118	8.60472	1.06011	5.06537	0.865226
1477010444600000	8.82512	0.978425	5.1117	0.105677	0.0748296	lidar	0.744501	8.74615	1.04858	8.85775	1.10473	5.05216	0.919037
1477010444650000	9.0962	1.00808	5.14278	0.109779	0.0752106	radar	2.19642	9.8809	1.1419	9.1101	1.15208	5.03798	0.974245
1477010444700000	9.33061	1.04336	5.11433	0.117402	0.0792973	lidar	0.320667	9.25579	1.04913	9.36172	1.20223	5.0228	1.03082
1477010444750000	9.59878	1.07682	5.14502	0.1221	0.0800357	radar	1.22529	10.1016	1.52474	9.61255	1.25524	5.00656	1.08873
1477010444800000	9.88898	1.2344	5.21415	0.179728	0.135251	lidar	4.55224	10.0484	1.44598	9.86254	1.31118	4.98922	1.14794
1477010444850000	10.143	1.28448	5.19288	0.188067	0.137149	radar	1.21246	10.5377	1.72555	10.1117	1.37011	4.97074	1.20841
1477010444900000	10.3635	1.38358	5.15385	0.217867	0.160765	lidar	1.1731	10.2492	1.45907	10.3598	1.4321	4.95106	1.2701
1477010444950000	10.6062	1.44239	5.1157	0.227957	0.163465	radar	1.36604	10.9084	1.70343	10.6069	1.49721	4.93014	1.33298
1477010445000000	10.8296	1.48616	5.07648	0.231463	0.158932	lidar	0.612064	10.7313	1.45265	10.853	1.56549	4.90794	1.39701
1477010445050000	11.0851	1.54568	5.09361	0.238854	0.158197	radar	0.510177	11.4783	1.42876	11.0979	1.637	4.8844	1.46213
1477010445100000	11.386	1.60383	5.16932	0.24169	0.152541	lidar	2.2817	11.587	1.61462	11.3416	1.71179	4.85948	1.52832
1477010445150000	11.6269	1.666	5.14335	0.250123	0.153723	radar	0.312299	11.4763	1.53917	11.584	1.78992	4.83313	1.59551
1477010445200000	11.8545	1.73821	5.11605	0.262568	0.158773	lidar	0.330972	11.7788	1.74591	11.8251	1.87144	4.80531	1.66366
1477010445250000	12.1075	1.8064	5.13496	0.270042	0.157996	radar	0.175973	12.136	2.14937	12.0647	1.95639	4.77598	1.73273
1477010445300000	12.3498	1.84467	5.11845	0.26582	0.145579	lidar	0.289021	12.3226	1.78353	12.3029	2.04482	4.74508	1.80265
1477010445350000	12.601	1.91244	5.13641	0.272219	0.144343	radar	0.200324	12.5457	1.77728	12.5394	2.13677	4.71257	1.87338
1477010445400000	12.7882	2.05488	5.07856	0.313927	0.180457	lidar	3.25244	12.5924	2.17509	12.7743	2.23227	4.67842	1.94485
1477010445450000	13.0446	2.13551	5.12093	0.321124	0.177702	radar	0.872379	13.2198	2.6644	13.0075	2.33137	4.64258	2.01701
1477010445500000	13.239	2.2871	5.08141	0.362636	0.211974	lidar	2.35554	13.0875	2.40708	13.2388	2.43409	4.605	2.08981
1477010445550000	13.4537	2.3792	5.03006	0.376997	0.217084	radar	1.92657	12.7087	3.12439	13.4682	2.54047	4.56565	2.16317
1477010445600000	13.7145	2.51964	5.08879	0.403186	0.232751	lidar	1.51514	13.836	2.62479	13.6955	2.65053	4.52448	2.23703
1477010445650000	13.9424	2.62101	5.07508	0.415962	0.234354	radar	0.0934123	13.8302	2.73893	13.9208	2.7643	4.48147	2.31134
1477010445700000	14.1748	2.79607	5.11171	0.455536	0.263331	lidar	1.46824	14.2106	2.94205	14.1439	2.88179	4.43656	2.38601
1477010445750000	14.4138	2.90925	5.13946	0.466055	0.259529	radar	0.354581	14.5568	2.87021	14.3646	3.00303	4.38974	2.46099
1477010445800000	14.6069	2.99287	5.0737	0.471142	0.251791	lidar	1.61762	14.4616	2.90734	14.583	3.12802	4.34097	2.5362
1477010445850000	14.8397	3.10999	5.09714	0.481944	0.249003	radar	0.355379	14.6754	3.96041	14.7989	3.25679	4.29021	2.61157
1477010445900000	15.046	3.3222	5.12815	0.532862	0.289248	lidar	2.30792	15.0261	3.5067	15.0122	3.38932	4.23744	2.68703
1477010445950000	15.265	3.45612	5.12019	0.548998	0.291681	radar	0.405864	15.3685	4.14761	15.2228	3.52563	4.18263	2.76249
1477010446000000	15.4821	3.66753	5.17033	0.5924	0.321565	lidar	1.78975	15.5236	3.82936	15.4306	3.66572	4.12575	2.83789
1477010446050000	15.6933	3.81293	5.16648	0.608717	0.321958	radar	0.0357851	15.7234	3.4105	15.6355	3.80957	4.06678	2.91315
1477010446100000	15.9187	3.97169	5.19221	0.625561	0.322482	lidar	0.242712	15.9774	4.00094	15.8375	3.95719	4.00571	2.98817
1477010446150000	16.121	4.12747	5.16892	0.645509	0.328211	radar	0.631373	16.3376	4.21632	16.0363	4.10854	3.94251	3.0629
1477010446200000	16.32	4.33595	5.202	0.681563	0.34854	lidar	0.780652	16.3313	4.44499	16.2319	4.26363	3.87716	3.13723
1477010446250000	16.5244	4.50199	5.20771	0.698315	0.347745	radar	0.166249	16.7586	4.48231	16.4242	4.42242	3.80966	3.21109
1477010446300000	16.6948	4.67727	5.18051	0.72373	0.356479	lidar	0.476995	16.6039	4.67344	16.613	4.5849	3.74	3.28438
1477010446350000	16.8684	4.85379	5.13164	0.750591	0.36978	radar	1.6371	16.9236	5.10119	16.7983	4.75103	3.66817	3.35704
1477010446400000	17.0318	5.09004	5.15988	0.794289	0.395961	lidar	1.06593	16.9955	5.21099	16.9799	4.92077	3.59416	3.42897
1477010446450000	17.2027	5.2761	5.14147	0.817499	0.401025	radar	0.236056	17.3421	4.64623	17.1579	5.09409	3.51797	3.50008
1477010446500000	17.3574	5.46029	5.11579	0.840604	0.404528	lidar	0.295593	17.2894	5.43542	17.3319	5.27094	3.4396	3.57028
1477010446550000	17.5149	5.6523	5.09219	0.865343	0.411145	radar	0.411608	17.6463	4.74597	17.5019	5.45128	3.35907	3.63949
1477010446600000	17.7146	5.77433	5.05547	0.853576	0.377675	lidar	1.81967	17.7853	5.62476	17.6679	5.63506	3.27637	3.70762
1477010446650000	17.8671	5.96741	5.02742	0.878515	0.386702	radar	0.615551	17.9216	6.07151	17.8297	5.82221	3.19151	3.77458
1477010446700000	18.0492	6.15943	5.04847	0.890527	0.37881	lidar	0.348986	18.1263	6.16985	17.9872	6.01269	3.10453	3.84027
1477010446750000	18.2024	6.35781	5.03984	0.911653	0.382084	radar	0.109318	18.1245	6.79027	18.1402	6.20641	3.01542	3.90462
1477010446800000	18.3159	6.596	5.04435	0.952649	0.404966	lidar	0.910211	18.2164	6.66138	18.2888	6.40332	2.92421	3.96753
1477010446850000	18.4533	6.80352	5.03072	0.976456	0.410238	radar	0.159859	18.4022	7.02231	18.4328	6.60333	2.83093	4.0289
1477010446900000	18.5926	6.9415	4.94835	0.976861	0.389989	lidar	2.1507	18.5422	6.76013	18.572	6.80638	2.7356	4.08867
1477010446950000	18.7345	7.14814	4.95833	0.993999	0.386662	radar	0.0824774	18.8089	7.24388	18.7064	7.01237	2.63825	4.14672
1477010447000000	18.9445	7.29262	4.9485	0.972565	0.344182	lidar	3.29687	19.1441	7.18344	18.8359	7.22122	2.53893	4.20299
1477010447050000	19.0569	7.49512	4.90398	1.00014	0.358602	radar	1.72526	18.5479	7.4012	18.9604	7.43283	2.43767	4.25737
1477010447100000	19.1357	7.7591	4.92989	1.04893	0.390593	lidar	1.75156	19.0138	7.8688	19.0798	7.64712	2.3345	4.3098
1477010447150000	19.2536	7.97329	4.92515	1.06959	0.392189	radar	0.0289338	19.3089	7.67375	19.1939	7.86397	2.22949	4.36017
1477010447200000	19.3133	8.18475	4.87387	1.10615	0.410202	lidar	2.06829	19.132	8.12845	19.3028	8.08329	2.12266	4.40842
1477010447250000	19.4155	8.40114	4.87133	1.12674	0.409456	radar	0.725402	19.0239	8.17194	19.4062	8.30497	2.01409	4.45445
1477010447300000	19.4905	8.54252	4.74875	1.13793	0.40082	lidar	4.37462	19.347	8.30741	19.5042	8.5289	1.90381	4.49819
1477010447350000	19.5827	8.75806	4.73989	1.16047	0.404412	radar	0.0766015	19.6843	8.35902	19.5966	8.75494	1.7919	4.53956
1477010447400000	19.7623	8.93643	4.74691	1.14165	0.363992	lidar	3.70704	20.0039	8.8906	19.6835	8.983	1.67841	4.57848
1477010447450000	19.8478	9.15171	4.72725	1.16584	0.372615	radar	0.33071	19.6061	9.48659	19.7645	9.21294	1.56341	4.61488
1477010447500000	19.99	9.38361	4.77893	1.16918	0.356487	lidar	1.93019	20.1574	9.45949	19.8398	9.44463	1.44697	4.64869
1477010447550000	20.0581	9.60043	4.74119	1.19874	0.372981	radar	1.29084	19.6163	9.76606	19.9093	9.67795	1.32916	4.67984
1477010447600000	20.1418	9.84468	4.7722	1.22204	0.377575	lidar	0.258077	20.1573	9.90876	19.9728	9.91275	1.21005	4.70826
1477010447650000	20.2166	10.0691	4.76859	1.2426	0.379462	radar	0.331917	19.1911	11.5493	20.0303	10.1489	1.08972	4.73389
1477010447700000	20.2505	10.3478	4.81917	1.28642	0.404639	lidar	1.40225	20.166	10.4687	20.0818	10.3863	0.968259	4.75666
1477010447750000	20.2919	10.5755	4.78683	1.31883	0.42139	radar	1.35618	19.6775	10.803	20.1271	10.6247	0.845742	4.77652
1477010447800000	20.3452	10.8606	4.8597	1.35027	0.431463	lidar	1.38232	20.371	11.0109	20.1663	10.864	0.722256	4.7934
1477010447850000	20.3885	11.097	4.85239	1.37527	0.435873	radar	0.306196	19.4335	12.3402	20.1993	11.1041	0.597892	4.80727
1477010447900000	20.4016	11.344	4.85199	1.4104	0.449496	lidar	0.443605	20.3164	11.3483	20.2261	11.3449	0.472738	4.81807
1477010447950000	20.3958	11.5762	4.80274	1.45564	0.480927	radar	3.82788	19.2063	12.2418	20.2466	11.5861	0.346889	4.82575
1477010448000000	20.4663	11.8392	4.85372	1.46491	0.465355	lidar	1.85454	20.6141	11.9422	20.2608	11.8275	0.220439	4.83027
1477010448050000	20.4875	12.0777	4.85468	1.48646	0.461545	radar	0.997022	19.966	11.9688	20.2687	12.0692	0.093487	4.83159
1477010448100000	20.4497	12.3722	4.91847	1.53693	0.488678	lidar	1.95913	20.3263	12.4966	20.2701	12.3108	-0.0338694	4.82968
1477010448150000	20.4245	12.6113	4.88712	1.57903	0.513383	radar	1.8405	20.0192	12.4823	20.2652	12.5522	-0.161529	4.82451
1477010448200000	20.439	12.8615	4.89979	1.59735	0.505779	lidar	0.257508	20.498	12.8924	20.254	12.7933	-0.28939	4.81605
1477010448250000	20.4199	13.1038	4.88969	1.62881	0.514818	radar	0.260043	20.9151	12.2555	20.2363	13.0339	-0.417348	4.80428
1477010448300000	20.3528	13.3108	4.82997	1.6723	0.533556	lidar	2.59432	20.1943	13.1688	20.2122	13.2738	-0.545298	4.78918
1477010448350000	20.318	13.547	4.82458	1.70159	0.536231	radar	0.532906	19.858	13.5236	20.1818	13.5129	-0.673135	4.77072
1477010448400000	20.2909	13.8097	4.86137	1.72611	0.533423	lidar	0.431469	20.3245	13.8896	20.1449	13.7509	-0.800753	4.74892
1477010448450000	20.2379	14.0448	4.8512	1.76012	0.543625	radar	0.342326	20.3387	13.5307	20.1017	13.9878	-0.928043	4.72374
1477010448500000	20.169	14.2976	4.87682	1.79537	0.551433	lidar	0.238368	20.1216	14.337	20.0521	14.2233	-1.0549	4.69521
1477010448550000	20.1025	14.5298	4.8706	1.82695	0.556002	radar	0.614745	19.6717	14.4038	19.9962	14.4573	-1.18121	4.66331
1477010448600000	19.9677	14.7736	4.89833	1.88227	0.583415	lidar	2.12908	19.781	14.773	19.934	14.6897	-1.30687	4.62805
1477010448650000	19.8914	15.0036	4.89812	1.90805	0.577166	radar	0.757287	20.1149	14.0165	19.8655	14.9202	-1.43177	4.58944
1477010448700000	19.8656	15.2212	4.86265	1.9145	0.555072	lidar	1.49521	20.0208	15.2053	19.7908	15.1486	-1.55581	4.54751
1477010448750000	19.7517	15.4381	4.84602	1.96387	0.587592	radar	2.54341	20.0157	15.3443	19.7099	15.3749	-1.67887	4.50226
1477010448800000	19.7275	15.6289	4.77163	1.96764	0.562835	lidar	2.4771	19.9131	15.554	19.6229	15.5989	-1.80085	4.45372
1477010448850000	19.6269	15.8439	4.76816	1.99874	0.566476	radar	0.208789	19.9388	15.0864	19.5298	15.8203	-1.92164	4.40193
1477010448900000	19.5125	16.0483	4.75806	2.03285	0.57245	lidar	0.168222	19.4748	16.0098	19.4307	16.039	-2.04114	4.3469
1477010448950000	19.4054	16.2591	4.75824	2.05819	0.566309	radar	0.596391	19.1556	16.0022	19.3257	16.2549	-2.15925	4.28868
1477010449000000	19.2806	16.4214	4.69758	2.09591	0.576566	lidar	1.40076	19.238	16.2719	19.2148	16.4679	-2.27586	4.22731
1477010449050000	19.1588	16.6218	4.69686	2.12561	0.577771	radar	0.0133618	19.4007	16.2962	19.0981	16.6777	-2.39087	4.16284
1477010449100000	19.0241	16.8246	4.70921	2.15677	0.579893	lidar	0.0397887	19.0029	16.8387	18.9757	16.8841	-2.50418	4.0953
1477010449150000	18.8785	17.0133	4.708	2.19802	0.599704	radar	1.79779	18.8373	17.7112	18.8477	17.0872	-2.61571	4.02476
1477010449200000	18.7024	17.2472	4.79556	2.23314	0.603692	lidar	1.57495	18.6148	17.3832	18.7142	17.2866	-2.72534	3.95127
1477010449250000	18.5752	17.4472	4.79692	2.24427	0.57506	radar	1.77419	18.8177	17.0316	18.5752	17.4822	-2.83299	3.87489
1477010449300000	18.3398	17.6173	4.84271	2.30485	0.606337	lidar	3.61305	18.1023	17.5529	18.4309	17.674	-2.93858	3.79568
